2015-03-11	12:41
Amplitude: 1,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
12000,000            -26,456             87,152
12027,663            -26,352             87,118
12055,389            -26,247             87,082
12083,180            -26,141             87,046
12111,035            -26,033             87,010
12138,953            -25,924             86,972
12166,937            -25,814             86,933
12194,984            -25,703             86,894
12223,097            -25,590             86,853
12251,274            -25,475             86,811
12279,516            -25,360             86,768
12307,823            -25,242             86,724
12336,196            -25,123             86,679
12364,633            -25,003             86,633
12393,137            -24,881             86,585
12421,706            -24,757             86,536
12450,341            -24,631             86,485
12479,042            -24,504             86,433
12507,809            -24,375             86,380
12536,643            -24,244             86,325
12565,543            -24,111             86,268
12594,509            -23,976             86,209
12623,542            -23,839             86,149
12652,643            -23,699             86,087
12681,810            -23,558             86,022
12711,045            -23,414             85,956
12740,347            -23,268             85,887
12769,716            -23,120             85,816
12799,153            -22,968             85,743
12828,659            -22,815             85,666
12858,232            -22,658             85,588
12887,873            -22,499             85,506
12917,583            -22,337             85,421
12947,361            -22,172             85,333
12977,207            -22,004             85,241
13007,123            -21,832             85,146
13037,107            -21,657             85,047
13067,161            -21,479             84,944
13097,284            -21,297             84,837
13127,476            -21,111             84,725
13157,738            -20,921             84,608
13188,070            -20,727             84,486
13218,472            -20,529             84,358
13248,943            -20,326             84,224
13279,485            -20,118             84,084
13310,098            -19,905             83,937
13340,781            -19,688             83,782
13371,534            -19,464             83,619
13402,359            -19,235             83,448
13433,255            -19,000             83,267
13464,221            -18,758             83,077
13495,260            -18,510             82,875
13526,369            -18,254             82,661
13557,551            -17,991             82,434
13588,804            -17,720             82,192
13620,130            -17,440             81,935
13651,527            -17,152             81,661
13682,997            -16,853             81,367
13714,540            -16,544             81,052
13746,155            -16,225             80,714
13777,843            -15,893             80,349
13809,605            -15,549             79,955
13841,439            -15,191             79,527
13873,347            -14,818             79,063
13905,328            -14,429             78,555
13937,383            -14,023             77,999
13969,512            -13,598             77,388
14001,715            -13,152             76,711
14033,993            -12,683             75,960
14066,344            -12,190             75,121
14098,771            -11,669             74,178
14131,272            -11,118             73,111
14163,848            -10,533             71,896
14196,499             -9,911             70,499
14229,225             -9,247             68,879
14262,027             -8,537             66,982
14294,904             -7,776             64,734
14327,857             -6,960             62,039
14360,886             -6,085             58,764
14393,992             -5,151             54,730
14427,173             -4,165             49,696
14460,431             -3,149             43,352
14493,766             -2,150             35,342
14527,178             -1,262             25,372
14560,666             -0,623             13,459
14594,232             -0,381              0,252
14627,875             -0,606            -12,981
14661,596             -1,233            -24,958
14695,394             -2,114            -35,005
14729,271             -3,110            -43,084
14763,225             -4,127            -49,484
14797,258             -5,115            -54,561
14831,369             -6,051            -58,628
14865,559             -6,928            -61,928
14899,828             -7,747            -64,642
14934,175             -8,509            -66,904
14968,602             -9,221            -68,813
15003,108             -9,887            -70,442
15037,694            -10,510            -71,847
15072,360            -11,097            -73,069
15107,105            -11,649            -74,141
15141,930            -12,171            -75,088
15176,836            -12,665            -75,930
15211,822            -13,135            -76,685
15246,889            -13,581            -77,363
15282,037            -14,007            -77,977
15317,266            -14,414            -78,535
15352,576            -14,804            -79,044
15387,967            -15,177            -79,511
15423,440            -15,536            -79,939
15458,995            -15,880            -80,335
15494,631            -16,213            -80,701
15530,350            -16,533            -81,040
15566,151            -16,842            -81,356
15602,035            -17,141            -81,650
15638,001            -17,430            -81,925
15674,051            -17,710            -82,183
15710,183            -17,981            -82,425
15746,399            -18,245            -82,652
15782,698            -18,500            -82,867
15819,081            -18,749            -83,069
15855,548            -18,991            -83,260
15892,098            -19,226            -83,441
15928,733            -19,456            -83,613
15965,453            -19,679            -83,776
16002,257            -19,897            -83,931
16039,146            -20,110            -84,078
16076,120            -20,318            -84,219
16113,180            -20,521            -84,353
16150,324            -20,720            -84,481
16187,555            -20,914            -84,603
16224,871            -21,104            -84,721
16262,273            -21,290            -84,833
16299,761            -21,472            -84,940
16337,336            -21,651            -85,043
16374,998            -21,826            -85,143
16412,746            -21,997            -85,238
16450,581            -22,166            -85,329
16488,504            -22,331            -85,418
16526,514            -22,493            -85,503
16564,611            -22,653            -85,584
16602,797            -22,809            -85,663
16641,070            -22,963            -85,740
16679,432            -23,114            -85,813
16717,882            -23,263            -85,885
16756,420            -23,409            -85,953
16795,048            -23,553            -86,020
16833,764            -23,694            -86,084
16872,570            -23,834            -86,147
16911,466            -23,971            -86,207
16950,451            -24,106            -86,266
16989,525            -24,239            -86,323
17028,690            -24,370            -86,378
17067,945            -24,499            -86,431
17107,291            -24,627            -86,483
17146,728            -24,752            -86,534
17186,255            -24,876            -86,583
17225,873            -24,998            -86,631
17265,583            -25,119            -86,677
17305,384            -25,238            -86,723
17345,277            -25,355            -86,767
17385,262            -25,471            -86,810
17425,339            -25,585            -86,851
17465,509            -25,698            -86,892
17505,771            -25,810            -86,932
17546,126            -25,920            -86,971
17586,574            -26,029            -87,008
17627,115            -26,137            -87,045
17667,750            -26,243            -87,081
17708,478            -26,348            -87,116
17749,301            -26,452            -87,151
17790,217            -26,554            -87,184
17831,228            -26,656            -87,217
17872,333            -26,756            -87,249
17913,533            -26,856            -87,280
17954,828            -26,954            -87,311
17996,218            -27,051            -87,341
